state,pollster,sponsor,start.date,end.date,entry.date.time..et.,number.of.observations,population,mode,biden,trump,biden_margin,other,undecided,url,include,notes
UT,RMG Research,,10/12/2020,10/17/2020,10/23/2020 12:15:00,1000,lv,Online,38,50,-12,3,,https://www.deseret.com/utah/2020/10/22/21528825/news-poll-utahns-concerned-election-results-being-accepted-by-trump-biden-hinckley,TRUE,
--,Quinnipiac University,,10/16/2020,10/19/2020,10/22/2020 17:41:00,1426,lv,Live Phone,51,41,10,,,https://poll.qu.edu/national/release-detail?ReleaseID=3681,TRUE,
WI,RMG Research,,10/14/2020,10/20/2020,10/22/2020 17:41:00,800,lv,Online,50,44,6,,,http://politicaliq.com/2020/10/22/wi-biden-50-trump-44/,TRUE,
MT,Strategies 360,,10/15/2020,10/20/2020,10/22/2020 17:41:00,500,lv,Live Phone/Online,43,51,-8,,,https://nbcmontana.com/news/beyond-the-podium/nbc-montanastrategies-360-poll-shows-extremely-tight-montana-races,TRUE,
KS,NYT/Siena College,,10/18/2020,10/20/2020,10/22/2020 17:41:00,755,lv,Live Phone,41,48,-7,,,https://int.nyt.com/data/documenttools/ks101820-crosstabs/fcc9a5346866c517/full.pdf,TRUE,
MI,Public Policy Polling,,10/21/2020,10/22/2020,10/22/2020 17:41:00,804,rv,IVR,50,43,7,,,https://americanbridgepac.org/wp-content/uploads/2020/10/MichiganResults.pdf,TRUE,
PA,Public Policy Polling,,10/21/2020,10/22/2020,10/22/2020 17:41:00,890,rv,IVR,51,46,5,,,https://americanbridgepac.org/wp-content/uploads/2020/10/PennsylvaniaResults.pdf,TRUE,
VA,George Mason University,The Washington Post,10/13/2020,10/19/2020,10/22/2020 10:23:00,908,lv,Live Phone,52,41,11,3,,https://www.washingtonpost.com/context/oct-13-19-2020-washington-post-schar-school-poll-of-virginia-voters/2be60bb5-dff2-4440-a7c4-af4e42a86c88/?tid=a_inl_manual,TRUE,
PA,Civiqs,,10/17/2020,10/21/2020,10/22/2020 10:23:00,1577,a,Online,52,46,6,,,https://twitter.com/dhopkins1776/status/1319246420088623104,TRUE,
CA,Public Policy Institute of California,,10/19/2020,10/18/2020,10/22/2020 8:50:00,1185,lv,Live Phone,58,32,26,5,,https://www.ppic.org/wp-content/uploads/crosstabs-likely-voters-1020.pdf,TRUE,
MN,SurveyUSA,,10/16/2020,10/20/2020,10/22/2020 8:50:00,625,lv,Online,48,42,6,,,https://kstp.com/politics/kstpsurveyusa-smith-lewis-senate-race-now-a-dead-heat-october-21-2020/5901843/,TRUE,
WI,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,1038,lv,Online,54,42,12,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
TX,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,3347,lv,Online,48,47,1,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
SC,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,926,lv,Online,45,51,-6,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
PA,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,2563,lv,Online,52,43,9,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
OH,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,2271,lv,Online,47,49,-2,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
NC,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,1904,lv,Online,50,47,3,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
MN,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,864,lv,Online,51,42,9,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
MI,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,1717,lv,Online,52,44,8,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
GA,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,1672,lv,Online,48,46,2,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
FL,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,4685,lv,Online,52,45,7,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
CO,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,788,lv,Online,55,39,16,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
AZ,Morning Consult,,10/11/2020,10/20/2020,10/22/2020 8:50:00,1066,lv,Online,47,48,-1,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
GA,Garin-Hart-Yang Research Group,,10/11/2020,10/14/2020,10/21/2020 21:21:00,600,lv,Live Phone,51,44,7,,,https://electjon.com/wp-content/uploads/2020/10/Pathway-to-Victory-memo-8.pdf,TRUE,
MI,Data for Progress,,10/15/2020,10/18/2020,10/21/2020 21:21:00,830,lv,Online,50,45,5,2,,https://filesforprogress.org/memos/2020-senate-project/week-5/toplines/dfp_psp_mi_10.21.2020.pdf,TRUE,
--,Ipsos,Reuters,10/16/2020,10/20/2020,10/21/2020 21:21:00,949,lv,Online,51,42,9,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/2020_reuters_tracking_-_core_political_general_election_tracker_10_21_2020_.pdf,TRUE,
OK,SoonerPoll,,10/15/2020,10/20/2020,10/21/2020 21:21:00,5466,lv,Live Phone/Online,37,59,-22,2,,https://www.news9.com/story/5f90b311788f4939f00759e5/news-9news-on-6-exclusive-poll:-inhofe-leads-broyles-by-20-points-in-us-senate-race,TRUE,
MI,Fox News/Beacon Research/Shaw & Co. Research,,10/17/2020,10/20/2020,10/21/2020 18:16:00,1032,lv,Live Phone,52,40,12,,,https://www.foxnews.com/politics/fox-news-poll-trump-gains-in-ohio-biden-ahead-in-michigan-pennsylvania-wisconsin?preview=true,TRUE,
OH,Fox News/Beacon Research/Shaw & Co. Research,,10/17/2020,10/20/2020,10/21/2020 18:16:00,1018,lv,Live Phone,45,48,-3,,,https://www.foxnews.com/politics/fox-news-poll-trump-gains-in-ohio-biden-ahead-in-michigan-pennsylvania-wisconsin?preview=true,TRUE,
PA,Fox News/Beacon Research/Shaw & Co. Research,,10/17/2020,10/20/2020,10/21/2020 18:16:00,1045,lv,Live Phone,50,45,5,,,https://www.foxnews.com/politics/fox-news-poll-trump-gains-in-ohio-biden-ahead-in-michigan-pennsylvania-wisconsin?preview=true,TRUE,
WI,Fox News/Beacon Research/Shaw & Co. Research,,10/17/2020,10/20/2020,10/21/2020 18:16:00,1037,lv,Live Phone,49,44,5,,,https://www.foxnews.com/politics/fox-news-poll-trump-gains-in-ohio-biden-ahead-in-michigan-pennsylvania-wisconsin?preview=true,TRUE,
AZ,Ipsos,,10/14/2020,10/21/2020,10/21/2020 17:38:00,658,lv,Online,50,46,4,1,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/topline_reuters_arizona_state_poll_w4_10_21_2020.pdf,TRUE,
FL,Ipsos,,10/14/2020,10/20/2020,10/21/2020 17:38:00,662,lv,Online,51,46,5,2,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/topline_reuters_arizona_state_poll_w4_10_21_2020.pdf,TRUE,
PA,SSRS,CNN,10/15/2020,10/20/2020,10/21/2020 14:50:00,843,lv,Live Phone,53,43,10,2,,http://cdn.cnn.com/cnn/2020/images/10/21/rel1a_pa.pdf,TRUE,
FL,SSRS,CNN,10/15/2020,10/20/2020,10/21/2020 14:50:00,8847,lv,Live Phone,50,46,4,2,,http://cdn.cnn.com/cnn/2020/images/10/21/rel1a_pa.pdf,TRUE,
TX,Quinnipiac University,,10/16/2020,10/19/2020,10/21/2020 14:50:00,1145,lv,Live Phone,47,47,0,,,https://poll.qu.edu/pennsylvania/release-detail?ReleaseID=3680,TRUE,
PA,Quinnipiac University,,10/16/2020,10/19/2020,10/21/2020 14:50:00,1241,lv,Live Phone,51,43,8,,,https://poll.qu.edu/pennsylvania/release-detail?ReleaseID=3680,TRUE,
AK,Public Policy Polling,,10/19/2020,10/20/2020,10/21/2020 14:50:00,800,rv,IVR,45,50,-5,,,https://www.protectourcare.org/wp-content/uploads/2020/10/Health-Care-Could-Be-Deciding-Factor-in-Close-Alaska-Senate-Race.pdf,TRUE,
KS,Public Policy Polling,,10/19/2020,10/20/2020,10/21/2020 14:50:00,897,rv,IVR,42,54,-12,,,https://www.protectourcare.org/wp-content/uploads/2020/10/Health-Care-Could-Be-Deciding-Factor-in-Close-Alaska-Senate-Race.pdf,TRUE,
WI,Latino Decisions,,10/14/2020,10/19/2020,10/21/2020 11:16:00,400,lv,Online,50,45,5,,,https://dfer.org/press/erna-poll-of-wi-voters-shows-biden-with-slight-lead-as-voters-say-trump-mishandled-covid-19-pandemic/,TRUE,
IA,NYT/Siena College,,10/18/2020,10/20/2020,10/21/2020 11:16:00,753,lv,Live Phone,46,43,3,3,,https://int.nyt.com/data/documenttools/ia101820-crosstabs/1eff04c308f3dcb1/full.pdf,TRUE,
PA,Suffolk University,,10/15/2020,10/19/2020,10/21/2020 11:16:00,500,lv,Live Phone,49,42,7,1,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2020/10_21_2020_marginals_pdftxt.pdf?la=en&hash=F421FFD9FF52E261617E7EE0A253E6943EF64314,TRUE,
IA,Monmouth University,,10/15/2020,10/19/2020,10/21/2020 11:16:00,501,lv,Live Phone,51,47,4,,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_ia_102120.pdf/,TRUE,average of lv screens
--,Research Co.,,10/16/2020,10/18/2020,10/21/2020 11:16:00,1053,lv,Online,50,42,8,2,,https://researchco.ca/2020/10/21/trump-vs-biden-5/,TRUE,
--,SurveyUSA,,10/16/2020,10/19/2020,10/21/2020 11:16:00,1135,lv,Online,53,43,10,,,http://www.surveyusa.com/client/PollReport.aspx?g=d92742eb-77f8-468c-815a-6823765a2ed8,TRUE,
MN,Civiqs,,10/17/2020,10/20/2020,10/21/2020 11:16:00,840,lv,Online,53,43,10,,,https://civiqs.com/documents/Civiqs_DailyKos_MN_banner_book_2020_10_d859f5.pdf,TRUE,
FL,Civiqs,,10/17/2020,10/20/2020,10/21/2020 11:16:00,863,lv,Online,51,47,4,,,https://civiqs.com/documents/Civiqs_DailyKos_MN_banner_book_2020_10_d859f5.pdf,TRUE,
NV,Civiqs,,10/17/2020,10/20/2020,10/21/2020 11:16:00,712,lv,Online,52,43,9,,,https://civiqs.com/documents/Civiqs_DailyKos_MN_banner_book_2020_10_d859f5.pdf,TRUE,
--,YouGov,Economist,10/18/2020,10/20/2020,10/21/2020 11:16:00,1344,lv,Online,52,43,9,,,https://docs.cdn.yougov.com/hxop5lpnlj/econTabReport.pdf,TRUE,
NJ,DKC Analytics,,10/5/2020,10/13/2020,10/20/2020 21:00:00,500,lv,Online,56,34,22,,,https://www.investorideas.com/news/2020/cannabis/10202New-Jersey-Low-Level-Marijuana-Convictions.asp,TRUE,
--,J.L. Partners,,10/13/2020,10/13/2020,10/20/2020 21:00:00,844,lv,Online,52,42,10,,,https://www.independent.co.uk/news/world/americas/us-election-2020/us-2020-election-polls-latest-biden-trump-win-points-b1159816.html,TRUE,
NM,GBAO,,10/14/2020,10/17/2020,10/20/2020 21:00:00,600,lv,Live Phone,54,41,13,,,https://benraylujan.com/wp-content/uploads/2020/10/Lujan-Poll-Memo-102020.pdf,TRUE,
WI,Change Research,CNBC,10/16/2020,10/19/2020,10/20/2020 21:00:00,400,lv,Online,52,44,8,,,https://www.cnbc.com/2020/10/20/voters-want-senate-to-choose-coronavirus-stimulus-over-supreme-court.html,TRUE,
PA,Change Research,CNBC,10/16/2020,10/19/2020,10/20/2020 21:00:00,400,lv,Online,49,47,2,,,https://www.cnbc.com/2020/10/20/voters-want-senate-to-choose-coronavirus-stimulus-over-supreme-court.html,TRUE,
NC,Change Research,CNBC,10/16/2020,10/19/2020,10/20/2020 21:00:00,400,lv,Online,50,47,3,,,https://www.cnbc.com/2020/10/20/voters-want-senate-to-choose-coronavirus-stimulus-over-supreme-court.html,TRUE,
MI,Change Research,CNBC,10/16/2020,10/19/2020,10/20/2020 21:00:00,400,lv,Online,51,44,7,,,https://www.cnbc.com/2020/10/20/voters-want-senate-to-choose-coronavirus-stimulus-over-supreme-court.html,TRUE,
FL,Change Research,CNBC,10/16/2020,10/19/2020,10/20/2020 21:00:00,400,lv,Online,50,45,5,,,https://www.cnbc.com/2020/10/20/voters-want-senate-to-choose-coronavirus-stimulus-over-supreme-court.html,TRUE,
AZ,Change Research,CNBC,10/16/2020,10/19/2020,10/20/2020 21:00:00,400,lv,Online,51,45,6,,,https://www.cnbc.com/2020/10/20/voters-want-senate-to-choose-coronavirus-stimulus-over-supreme-court.html,TRUE,
--,Change Research,CNBC,10/17/2020,10/18/2020,10/20/2020 21:00:00,2711,lv,Online,52,42,10,,,https://www.cnbc.com/2020/10/20/voters-want-senate-to-choose-coronavirus-stimulus-over-supreme-court.html,TRUE,
--,Redfield & Wilton Strategies,,10/17/2020,10/18/2020,10/20/2020 21:00:00,2915,lv,Online,51,40,11,2,,https://redfieldandwiltonstrategies.com/us-national-voting-intention-october-17-18/,TRUE,
MI,Ipsos,,10/14/2020,10/20/2020,10/20/2020 21:00:00,686,lv,Online,51,44,7,2,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/topline_reuters_michigan_state_poll_w4_10_20_2020.pdf,TRUE,
NC,Ipsos,,10/14/2020,10/20/2020,10/20/2020 21:00:00,660,lv,Online,49,46,3,2,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-10/topline_reuters_north_carolina_state_poll_w4_10_20_20.pdf,TRUE,
NC,East Carolina University,,10/15/2020,10/18/2020,10/20/2020 14:25:00,1155,lv,Online,51,47,4,,,https://surveyresearch-ecu.reportablenews.com/pr/ecu-poll-biden-leads-trump-by-three-points-among-likely-voters-in-north-carolina-senate-election-remains-a-toss-up-cooper-ahead-of-forest-by-nine-points-other-statewide-contests-show-small-leads-for-robinson-stein-and-folwell,TRUE,
MN,Change Research,,10/12/2020,10/15/2020,10/20/2020 14:25:00,1021,lv,Online,49,44,5,,,https://www.minnpost.com/politics-policy/2020/10/minnpost-poll-finds-close-race-between-biden-and-trump-in-minnesota/,TRUE,
FL,University of North Florida,,10/12/2020,10/16/2020,10/20/2020 14:25:00,863,lv,Live Phone,48,47,1,,,https://www.unf.edu/uploadedFiles/aa/coas/porl/FLFallOct2020.pdf,TRUE,
CO,RMG Research,,10/9/2020,10/15/2020,10/20/2020 14:25:00,800,lv,Online,51,43,8,3,,http://politicaliq.com/2020/10/20/co-biden-51-trump-43/,TRUE,
GA,NYT/Siena College,,10/13/2020,10/19/2020,10/20/2020 14:25:00,749,lv,Live Phone,45,45,0,3,,https://int.nyt.com/data/documenttools/ga101320-crosstabs/96723fae2a9846ed/full.pdf,TRUE,
KY,Mason-Dixon Polling & Strategy,,10/12/2020,10/15/2020,10/20/2020 14:25:00,625,lv,Live Phone,39,56,-17,,,https://projects.fivethirtyeight.com/polls/20201020_KY_MasonDixon.pdf,TRUE,
AZ,Data Orbital,,10/16/2020,10/18/2020,10/20/2020 14:25:00,550,lv,Live Phone,47,42,5,3,,https://www.dataorbital.com/the-blog/breaking-in-arizona-presidential-and-us-races-still-tight-two-weeks-out-from-election-day,TRUE,
--,NYT/Siena College,,10/15/2020,10/18/2020,10/20/2020 8:25:00,987,lv,Live Phone,50,41,9,2,,https://int.nyt.com/data/documenttools/us101520-crosstabs1/016bc5d8ae03038c/full.pdf,TRUE,
NC,ABC News/Washington Post,,10/12/2020,10/17/2020,10/20/2020 8:25:00,646,lv,Live Phone,49,48,1,1,,https://www.washingtonpost.com/context/oct-12-17-2020-post-abc-poll-north-carolina/5bed58ac-8dc1-4018-857b-ab7aedeb3d2e/?tid=a_inl_manual&tidloc=8,TRUE,
TX,Data for Progress,,10/15/2020,10/18/2020,10/19/2020 22:55:00,9333,lv,Online,47,46,1,,,https://filesforprogress.org/memos/2020-senate-project/week-5/toplines/tx.pdf,TRUE,
WA,Public Policy Polling,,10/14/2020,10/15/2020,10/19/2020 19:30:00,610,lv,IVR,60,37,23,,,https://www.nwprogressive.org/weblog/2020/10/three-out-of-five-washingtonians-surveyed-are-voting-for-joe-biden-npi-poll-finds.html,TRUE,
AL,Moore Information,,10/11/2020,10/14/2020,10/19/2020 19:30:00,504,lv,Live Phone,38,55,-17,,,https://www.al.com/news/2020/10/tuberville-campaign-tells-potential-donors-hes-fallen-behind-jones.html,TRUE,
WI,Ipsos,,10/13/2020,10/19/2020,10/19/2020 17:29:00,663,lv,Online,51,43,8,,,https://uk.reuters.com/article/instant-article/idUKKBN2742P1,TRUE,
PA,Ipsos,,10/13/2020,10/19/2020,10/19/2020 17:29:00,643,lv,Online,49,45,4,,,https://uk.reuters.com/article/instant-article/idUKKBN2742P1,TRUE,
--,Morning Consult,,10/16/2020,10/18/2020,10/19/2020 15:00:00,14994,lv,Online,52,43,9,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,monday release
--,USC Dornsife,,10/5/2020,10/18/2020,10/19/2020 15:00:00,5557,lv,Online,52,42,10,,,https://election.usc.edu/,TRUE,monday release
--,Public Religion Research Institute,,9/9/2020,9/22/2020,10/19/2020 15:00:00,1562,lv,Live Phone,56,43,13,,,https://www.prri.org/wp-content/uploads/2020/10/Full-Topline-AVS-2020-v2_10-19release-1.pdf,TRUE,average of lv screens
--,RMG Research,,10/15/2020,10/17/2020,10/19/2020 15:00:00,1265,lv,Online,51,43,8,3,,https://justthenews.com/politics-policy/polling/biden-continues-8-point-lead-stable-nationwide-polls,TRUE,
WI,Trafalgar Group,,10/5/2020,10/18/2020,10/19/2020 15:00:00,1051,lv,IVR,48,46,2,2,,https://www.thetrafalgargroup.org/news/wi-pres-1020/,TRUE,
PA,Trafalgar Group,,10/5/2020,10/18/2020,10/19/2020 15:00:00,1041,lv,IVR,48,46,2,3,,https://d3n8a8pro7vhmx.cloudfront.net/restoration/pages/991/attachments/original/1603117915/RSTP_PA_'20_Oct_Press_Report.pdf?1603117915,TRUE,
--,IBD/TIPP,,10/14/2020,10/18/2020,10/19/2020 15:00:00,949,lv,Live Phone/Online,50,44,6,3,,https://www.investors.com/news/trump-vs-biden-poll-shows-real-race-ibd-tipp-2020-presidential-poll/,TRUE,monday release
MI,Mitchell Research & Communications,,10/18/2020,10/18/2020,10/19/2020 15:00:00,900,lv,Online,51,41,10,4,,https://projects.fivethirtyeight.com/polls/20201019_MI_Mitchell.pdf,TRUE,
--,YouGov,Yahoo,10/16/2020,10/18/2020,10/19/2020 15:00:00,800,lv,Online,51,40,11,,,https://news.yahoo.com/yahoo-news-you-gov-poll-the-tide-turns-against-trump-as-biden-surges-to-his-largestever-lead-among-likely-voters-175644323.html,TRUE,
CO,YouGov,University of Colarodo-Boulder,10/5/2020,10/9/2020,10/19/2020 15:00:00,800,lv,Online,47,38,9,,,https://www.colorado.edu/lab/aprl/sites/default/files/attached-files/2020_colorado_political_climate_report_election_topline_10-19-20_.pdf,TRUE,
--,Public Religion Research Institute,,10/9/2020,10/12/2020,10/19/2020 15:00:00,672,lv,Live Phone,55,39,16,,,https://www.prri.org/press-release/ahead-of-2020-election-and-amid-multiple-crises-trump-and-biden-supporters-see-different-realities-and-futures-for-the-nation/,TRUE,average of lv screens
VA,Cygnal,,10/9/2020,10/11/2020,10/19/2020 15:00:00,607,lv,Online,51,42,9,,,https://martinsvillebulletin.com/news/local/govt-and-politics/election-2020-republican-senate-candidate-daniel-gade-criticizes-mark-warner-and-the-democratic-party-during/article_62a1a626-6a8a-51cb-9c2f-562effcfa3db.html,TRUE,
VA,Cygnal,,9/22/2020,9/25/2020,10/19/2020 15:00:00,600,lv,Online,52,41,11,,,https://gadeforvirginia.com/new-poll-shows-gade-down-by-single-digits/,TRUE,
WI,YouGov,CBS News,10/13/2020,10/16/2020,10/18/2020 12:02:00,1112,lv,Online,51,46,5,,,https://drive.google.com/file/d/1DNqE5ac9gNwx_B7A-VKfMwzGoNSXguI0/view,TRUE,
AZ,YouGov,CBS News,10/13/2020,10/16/2020,10/18/2020 12:02:00,1074,lv,Online,50,47,3,,,https://drive.google.com/file/d/1DNqE5ac9gNwx_B7A-VKfMwzGoNSXguI0/view,TRUE,
MO,Remington Research Group,,10/14/2020,10/15/2020,10/18/2020 9:00:00,1010,lv,Online,45,51,-6,,,https://moscout.com/daily-updates-1/2020/10/17/moscout-daily-update-koenigs-cavalry-poll-shows-parson-lead-cleaner-in-flames-hallway-sees-dem-gains-in-house-and-more,TRUE,
--,NORC,AP,10/8/2020,10/12/2020,10/16/2020 14:39:00,1121,a,Live Phone,51,36,15,,,https://apnorc.org/wp-content/uploads/2020/10/topline_october_trumpcovid.pdf,TRUE,
MI,Trafalgar Group,,10/11/2020,10/14/2020,10/16/2020 14:39:00,1025,lv,IVR,46,47,-1,5,,https://www.thetrafalgargroup.org/news/mi-pres-1020/,TRUE,
--,Kaiser Family Foundation,,10/7/2020,10/12/2020,10/16/2020 14:39:00,1015,lv,Live Phone,49,38,11,,,https://www.kff.org/health-reform/report/kff-health-tracking-poll-october-2020,TRUE,
--,Global Strategy Group,,10/8/2020,10/12/2020,10/16/2020 14:39:00,1003,rv,Online,53,43,10,,,https://navigatorresearch.org/wp-content/uploads/2020/10/Navigator-Full-Topline-F10.13.20.pdf?emci=e93dd2be-540f-eb11-96f5-00155d03affc&emdi=a00e0e4f-940f-eb11-96f5-00155d03affc&ceid=1280100,TRUE,
HI,MRG Research,,10/2/2020,10/7/2020,10/16/2020 14:39:00,988,rv,Live Phone,61,28,33,,,https://www.civilbeat.org/2020/10/civil-beat-hnn-poll-hawaii-voters-embrace-biden-for-us-president/,TRUE,
NJ,Stockton University,,10/7/2020,10/13/2020,10/16/2020 14:39:00,721,lv,Live Phone,56,36,20,,,https://stockton.edu/hughes-center/polling/documents/2020-1016-stockton-poll-biden-booker-lead-trump-stronger-in-sj.pdf,TRUE,
FL,Mason-Dixon Polling & Strategy,,10/8/2020,10/12/2020,10/16/2020 14:39:00,625,lv,Live Phone,48,45,3,,,https://www.scribd.com/document/480302681/Mason-Dixon-Poll-of-Florida-October-16#from_embed,TRUE,
AK,NYT/Siena College,,10/9/2020,10/14/2020,10/16/2020 14:39:00,423,lv,Live Phone,39,45,-6,8,,https://int.nyt.com/data/documenttools/ak100920-crosstabs1/722c27f1f660cf21/full.pdf,TRUE,
--,Edison Research,Marketplace,9/25/2020,10/8/2020,10/15/2020 14:44:00,1378,rv,Live Phone,48,35,13,,,https://www.marketplace.org/,TRUE,
--,Marist College,NPR/PBS Newshour,10/8/2020,10/13/2020,10/15/2020 14:44:00,896,lv,Live Phone,54,43,11,,,http://maristpoll.marist.edu/wp-content/uploads/2020/10/NPR_PBS-NewsHour_Marist-Poll_USA_Complete-Survey-Findings_Likely_Adults-Tables_202010150849.pdf,TRUE,
PA,Civiqs,Rust Belt Rising,10/8/2020,10/11/2020,10/15/2020 14:44:00,600,lv,Online,52,45,7,,,https://drive.google.com/file/d/1kioj7cMIsxOhN81x_i1ZPNrgbClGmy95/view,TRUE,
OH,Civiqs,Rust Belt Rising,10/8/2020,10/11/2020,10/15/2020 14:44:00,586,lv,Online,47,50,-3,,,https://drive.google.com/file/d/1kioj7cMIsxOhN81x_i1ZPNrgbClGmy95/view,TRUE,
WI,Civiqs,Rust Belt Rising,10/8/2020,10/11/2020,10/15/2020 14:44:00,560,lv,Online,53,45,8,,,https://drive.google.com/file/d/1kioj7cMIsxOhN81x_i1ZPNrgbClGmy95/view,TRUE,
MI,Civiqs,Rust Belt Rising,10/8/2020,10/11/2020,10/15/2020 14:44:00,543,lv,Online,52,43,9,,,https://drive.google.com/file/d/1kioj7cMIsxOhN81x_i1ZPNrgbClGmy95/view,TRUE,
CO,Keating Research,,10/8/2020,10/13/2020,10/15/2020 14:18:00,519,lv,Live Phone,54,49,5,,,https://twitter.com/blairmiller/status/1316782776922722304,TRUE,
--,Whitman Insight Strategies,,10/8/2020,10/13/2020,10/15/2020 12:15:00,1103,lv,Live Phone,54,42,12,,,https://wins-csip.com/wp-content/uploads/2020/10/WINS-CSIP-Likely-Voters-Release-10.15.2020.pdf,TRUE,
--,YouGov,University of Massachusetts Lowell,10/5/2020,10/12/2020,10/15/2020 12:15:00,819,lv,Live Phone,53,43,10,,,https://www.uml.edu/docs/2020-National-Topline_tcm18-331059.pdf,TRUE,
MI,RMG Research,,10/8/2020,10/13/2020,10/15/2020 12:15:00,800,lv,Online,48,42,6,3,,http://politicaliq.com/2020/10/15/battleground-mi-biden-48-trump-42/,TRUE,
SC,NYT/Siena College,,10/9/2020,10/15/2020,10/15/2020 12:15:00,605,lv,Live Phone,41,49,-8,3,,https://int.nyt.com/data/documenttools/sc100920-crosstabs/7b3ac01b2be42e57/full.pdf,TRUE,
